,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
42,42,42,-0.8157705288437411,-0.0778554146177726,-0.2681625105208996,-0.6133528125588422,-0.5251573428569705,-0.3618416376202226,-0.0778988155950074,1.0,28.0,15.0,9.0,1.0,3.5,0
43,43,43,0.7933245757075308,-0.1627893127731659,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,3.0,15.0,9.0,2.0,1.65,1.819174095
44,44,44,0.7933245757075308,-0.1627893127731659,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,4.0,15.0,9.0,2.0,1.54,0.454793524
45,45,45,0.7933245757075308,-0.1627893127731659,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,4.0,15.0,9.0,2.0,3.5,3.031956825
46,46,46,0.7933245757075308,-0.3076765508029543,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,3.0,15.0,9.0,2.0,1.2,0
47,47,47,0.7933245757075308,-0.3076765508029543,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,4.0,15.0,9.0,2.0,1.75,0
48,48,48,0.7933245757075308,-0.2177465409913615,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,3.0,15.0,9.0,2.0,1.57,0.303195682
49,49,49,0.7933245757075308,0.0420512651310178,0.0462675486646677,-0.5836952094566232,0.9273444585759938,-0.4776755279315831,-0.1763746768188848,1.0,3.0,15.0,9.0,2.0,1.61,0.606391365
50,50,50,0.5704196261593028,0.0470473767872174,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.1,7.579892062
51,51,51,0.3893093546513673,-0.2102523735070621,0.0028379824788159,-0.4814276125524198,-0.5251573428569705,-0.5935094182429437,-0.1763746768188848,6.0,44.0,15.0,9.0,1.0,2.1,2.636484196
52,52,52,0.3893093546513673,-0.2102523735070621,0.0028379824788159,-0.4814276125524198,-0.5251573428569705,-0.5935094182429437,-0.1763746768188848,6.0,33.0,15.0,9.0,1.0,2.1,2.636484196
53,53,53,-0.2654739346465528,-0.4523139832499329,-0.268569662703892,-0.6041487288374638,-0.5251573428569705,0.2173278139365799,-0.1763746768188848,6.0,35.0,15.0,9.0,1.0,50.0,12.1278273
54,54,54,0.5704196261593028,-0.0778554146177726,0.0028379824788159,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.1763746768188848,6.0,19.0,15.0,5.0,1.0,0.77,0
55,55,55,-0.6722754675720694,-0.4355770092016641,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,81.0,16.0,9.0,1.0,45.0,0
56,56,56,-0.6722754675720694,-0.4525632892215772,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,16.0,9.0,1.0,50.0,0.673809043
57,57,57,-0.6722754675720694,-0.4525587927210866,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,16.0,9.0,1.0,50.0,1.137052759
58,58,58,-0.6722754675720694,-0.4525138277161808,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,16.0,9.0,1.0,50.0,2.16581478
59,59,59,-0.6722754675720694,-0.4520641776671228,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,16.0,9.0,1.0,80.0,1.516070346
60,60,60,-0.6722754675720694,-0.4475676771765432,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,16.0,9.0,1.0,36.4,0.505356782
61,61,61,-0.6722754675720694,-0.4525138277161808,-0.2667510496198594,1.257121534819038,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,42.0,3.0,9.0,1.0,50.0,5.30624621
62,62,62,-0.619335542054365,-0.4165917849081057,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,0
63,63,63,-0.619335542054365,-0.4255847858892649,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,0
64,64,64,-0.619335542054365,-0.4285824528829847,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,3.031956825
65,65,65,-0.619335542054365,-0.4345777868704242,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,6.06391365
66,66,66,-0.619335542054365,-0.4405731208578637,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,5.457522285
67,67,67,-0.619335542054365,-0.4435707878515835,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,42.0,15.0,9.0,4.0,3.466666666666667,3.031956825
68,68,68,-0.619335542054365,-0.4165917849081057,-0.2490535013991248,-0.5325614110045215,-0.2657820211725125,-0.014339966686141,-0.1763746768188848,6.0,77.0,15.0,9.0,4.0,3.466666666666667,0
69,69,69,-0.8171636847784176,-0.4524388860413378,-0.2675110670281118,-0.4773369086762517,-0.5251573428569705,2.070670058918348,-0.1763746768188848,6.0,41.0,15.0,9.0,1.0,40.0,0
90,90,90,-0.4047895281141955,1.420978082242108,-0.2555679363270026,5.7037166482138,-0.5251573428569705,-0.6707320117838507,2.1213954184049206,3.0,28.0,8.0,9.0,1.0,23.0,0
91,91,91,-0.2794054939933171,-0.4315801198767044,-0.2501392405537711,-0.5632416900757825,-0.5251573428569705,-0.3618416376202226,1.6290161122855338,3.0,53.0,8.0,9.0,1.0,23.0,0
100,100,100,0.5704196261593028,0.0470473767872174,-0.1328794118519711,-0.5836952094566232,-0.379907162713674,-0.4776755279315831,-0.9970068536845296,3.0,66.0,15.0,3.0,4.0,2.0,0
108,108,108,-0.0704321037918531,-0.4026026722707468,-0.0460202794802674,-0.7064163257416672,-0.5251573428569705,-0.3618416376202226,1.3007632415392758,0.0,59.0,11.0,8.0,1.0,18.0,15.15978412
109,109,109,-0.6555575963559522,-0.4175910072393456,-0.2414533273166007,-0.6655092869799859,-0.4006571884484307,-0.4776755279315831,-0.1763746768188848,0.0,59.0,11.0,9.0,0.0,4.0,4.547935237
